ID,Value_Id,Decision_2do_Revisor,Valor_Correcto_1ra_rev,Valor_Correcto_2da_rev,Unificar_1ra_rev,Unificar_2da_rev,Valor_Correcto_Audit_TL,Unificar_Audit_TL,Coincidencia_1er_revisor_valor,Coincidencia_2do_revisor_valor,Coincidencia_1er_revisor_unificar,Coincidencia_2do_revisor_unificar,Tipificacion_Errores_1er_Revisor,Tipificacion_Errores_2do_Revisor,Casos Accionados con Errores Graves,Casos Accionados con Errores Leves
2025_W38_3273,19049479,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3272,20632833,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3271,14256406,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3270,26641202,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3269,52243552,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3268,27267627,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3267,26793428,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3266,22318148,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3265,16947820,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3264,19665746,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3263,19716784,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3262,47880477,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3261,13702711,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3260,16209541,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3259,46324387,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3258,46106520,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3257,46685521,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3256,28105088,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3255,23692792,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3254,53903822,UNIFY,false,false,false,false,FALSE,TRUE,OK,OK,NOT OK,NOT OK,null,null,0,0
2025_W38_3253,23180229,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3252,53147464,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3251,28126652,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3250,17110688,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3249,28163456,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3248,13630722,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3247,22389723,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3246,59938265,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3245,23787139,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3244,24755123,UNIFY,false,false,false,true,FALSE,TRUE,OK,OK,NOT OK,OK,NO UNIFY erróneo,null,0,0
2025_W38_3243,24679744,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3242,36094343,UNIFY,false,false,false,false,FALSE,FALSE,OK,OK,OK,OK,null,null,0,0
2025_W38_3241,28436861,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3240,42165942,NO_UNIFY,false,false,true,false,FALSE,FALSE,OK,OK,NOT OK,OK,null,null,0,0
2025_W38_3239,53777173,NO_UNIFY,false,false,true,false,FALSE,FALSE,OK,OK,NOT OK,OK,null,null,0,0
2025_W38_3238,18961090,NO_UNIFY,true,false,true,false,TRUE,TRUE,OK,NOT OK,OK,NOT OK,null,NO UNIFY erróneo,1,0
2025_W38_3237,28352748,NO_UNIFY,false,false,true,false,FALSE,TRUE,OK,OK,OK,NOT OK,null,NO UNIFY erróneo,1,0
2025_W38_3236,35462016,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3235,21268771,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3234,15200284,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3233,36124985,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3232,17490474,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3231,13517336,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3230,34470866,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3229,18735899,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3228,15147717,NO_UNIFY,false,false,true,false,FALSE,FALSE,OK,OK,NOT OK,OK,null,null,0,0
2025_W38_3227,28257510,NO_UNIFY,true,false,true,false,FALSE,FALSE,NOT OK,OK,NOT OK,OK,UNIFY erróneo,null,0,0
2025_W38_3226,26383582,UNIFY,true,true,true,true,TRUE,TRUE,OK,OK,OK,OK,null,null,0,0
2025_W38_3225,40704428,UNIFY,false,false,false,false,FALSE,FALSE,OK,OK,OK,OK,null,null,0,0
2025_W38_3224,27633946,UNIFY,false,false,true,true,FALSE,TRUE,OK,OK,OK,OK,null,null,0,0
