Fecha,flujo,tarea_detalle,Usuario,Tareas realizadas
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_aglugone,59
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,36
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,54
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,58
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,57
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,65
4 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,53
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,38
4 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,42
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_esguadal,40
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_damercur,41
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_julieflo,37
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_maseinha,67
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_hernflor,59
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_aglugone,47
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_esguadal,54
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_maseinha,44
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_damercur,57
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_julieflo,48
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_flmonten,39
5 feb 2025,KNOWN_VALUE_CREATION,KNOWN_VALUE_CREATION,ext_hernflor,38
5 feb 2025,REMOVE_OUTSIDERS,REMOVE_OUTSIDERS,ext_yaportas,43
